Question,Correct Solution
Reverse a String,"public String reverseString(String s) {
    return new StringBuilder(s).reverse().toString();
}"
Reverse a String,"public String reverseString(String s) {
    String reversedStr = """";
    for (int i = s.length() - 1; i >= 0; i--) {
        reversedStr += s.charAt(i);
    }
    return reversedStr;
}"
Reverse a String,"public String reverseString(String s) {
    if (s.isEmpty()) {
        return s;
    }
    return reverseString(s.substring(1)) + s.charAt(0);
}"
Reverse a String,"public String reverseString(String s) {
    Stack<Character> stack = new Stack<>();
    for (char c : s.toCharArray()) {
        stack.push(c);
    }
    StringBuilder reversedStr = new StringBuilder();
    while (!stack.isEmpty()) {
        reversedStr.append(stack.pop());
    }
    return reversedStr.toString();
}"
Reverse a String,"public String reverseString(String s) {
    char[] chars = s.toCharArray();
    int left = 0, right = chars.length - 1;
    while (left < right) {
        char temp = chars[left];
        chars[left] = chars[right];
        chars[right] = temp;
        left++;
        right--;
    }
    return new String(chars);
}"
Check for Palindrome,"def is_palindrome(s):
    return s == ''.join(reversed(s))"
Check for Palindrome,"public boolean isPalindrome(String s) {
    int n = s.length();
    for (int i = 0; i < n / 2; i++) {
        if (s.charAt(i) != s.charAt(n - i - 1)) {
            return false;
        }
    }
    return true;
}"
Check for Palindrome,"public boolean isPalindrome(String s) {
    if (s.length() <= 1) {
        return true;
    }
    if (s.charAt(0) != s.charAt(s.length() - 1)) {
        return false;
    }
    return isPalindrome(s.substring(1, s.length() - 1));
}"
Check for Palindrome,"public boolean isPalindrome(String s) {
    int left = 0, right = s.length() - 1;
    while (left < right) {
        if (s.charAt(left) != s.charAt(right)) {
            return false;
        }
        left++;
        right--;
    }
    return true;
}"
Check for Palindrome,"public boolean isPalindrome(String s) {
    Stack<Character> stack = new Stack<>();
    for (char c : s.toCharArray()) {
        stack.push(c);
    }
    StringBuilder reversedStr = new StringBuilder();
    while (!stack.isEmpty()) {
        reversedStr.append(stack.pop());
    }
    return s.equals(reversedStr.toString());
}"
Sum of List Elements,"public int sumOfElements(int[] arr) {
    int sum = 0;
    for (int num : arr) {
        sum += num;
    }
    return sum;
}"
Sum of List Elements,"public int sumOfElements(int[] arr) {
    return sumHelper(arr, 0);
}
private int sumHelper(int[] arr, int index) {
    if (index == arr.length) {
        return 0;
    }
    return arr[index] + sumHelper(arr, index + 1);
}"
Sum of List Elements,"import java.util.Arrays;
public int sumOfElements(int[] arr) {
    return Arrays.stream(arr).sum();
}"
Sum of List Elements,"public int sumOfElements(int[] arr) {
    return Arrays.stream(arr).reduce(0, (a, b) -> a + b);
}"
Sum of List Elements,"import java.util.stream.IntStream;
public int sumOfElements(int[] arr) {
    return IntStream.of(arr).sum();
}"
Find Maximum Element in a List,"import java.util.Collections;
import java.util.List;

public int findMax(List<Integer> list) {
    return Collections.max(list);
}
"
